# Annotated with Bakta
# Software: v1.11.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_2	cds	31340	32491	+	AJMLCG_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0CF89
contig_2	cds	32494	32760	-	AJMLCG_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39212
contig_2	cds	32981	33331	+	AJMLCG_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAN1M9J0
contig_2	cds	33384	33509	-	AJMLCG_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A8DYQ1
contig_2	cds	33552	34670	-	AJMLCG_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39353
contig_2	cds	34682	35899	-	AJMLCG_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39352
contig_2	cds	36526	37854	+	AJMLCG_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P03835
contig_2	cds	39166	39525	+	AJMLCG_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39349
contig_2	cds	39483	39914	+	AJMLCG_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A024L8S6
contig_2	cds	40457	41362	-	AJMLCG_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0C5W5
contig_2	cds	41320	41685	-	AJMLCG_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0C5W3
contig_2	cds	42017	43207	-	AJMLCG_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39347
contig_2	cds	43236	43430	-	AJMLCG_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J2BQS3
contig_2	tRNA	43468	43552	-	AJMLCG_00046	79.3	-	-	-	-	-
contig_2	cds	43748	44767	+	AJMLCG_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P27250
contig_2	cds	44771	45334	-	AJMLCG_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39208
contig_2	cds	45551	46582	+	AJMLCG_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39346
contig_2	cds	46606	47370	+	AJMLCG_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A9P9
contig_2	cds	47432	48751	+	AJMLCG_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39344
contig_2	cds	48818	49816	+	AJMLCG_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39343
contig_2	cds	49894	51396	+	AJMLCG_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39342
contig_2	cds	51557	52639	-	AJMLCG_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADC6
contig_2	cds	52639	53718	-	AJMLCG_00055	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A024L703
contig_2	cds	54006	55517	+	AJMLCG_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P68767
contig_2	ncRNA	54564	54758	-	AJMLCG_00057	180.9	2.8e-28	-	-	-	RFAM:RF02850
contig_2	cds	55677	56120	+	AJMLCG_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P28905
contig_2	cds	56120	58975	+	AJMLCG_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P07118
contig_2	cds	59031	60227	-	AJMLCG_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39338
contig_2	cds	60420	60923	+	AJMLCG_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39337
contig_2	cds	61068	61484	-	AJMLCG_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF90
contig_2	cds	61646	62650	+	AJMLCG_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P04391
contig_2	cds	62706	64520	-	AJMLCG_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39336
contig_2	cds	64643	65095	-	AJMLCG_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF96
contig_2	cds	65240	65833	-	AJMLCG_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39334
contig_2	cds	65904	66617	+	AJMLCG_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39333
contig_2	cds	66748	67143	+	AJMLCG_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39332
contig_2	cds	67562	68497	+	AJMLCG_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A786
contig_2	cds	68510	68971	+	AJMLCG_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A7F3
contig_2	cds	69044	69430	+	AJMLCG_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF93
contig_2	cds	69636	72332	-	AJMLCG_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABB8
contig_2	ncRNA-region	72426	72541	-	-	125.9	7.7e-21	-	-	-	RFAM:RF01056
contig_2	sorf	72473	72526	-	AJMLCG_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_E2JKY7
contig_2	cds	72711	73658	+	AJMLCG_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P36673
contig_2	cds	73777	75198	+	AJMLCG_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P36672
contig_2	cds	75248	76903	+	AJMLCG_00076	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P28904
contig_2	cds	77297	79435	+	AJMLCG_00077	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P28903
contig_2	cds	79593	80057	+	AJMLCG_00078	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A9N8
contig_2	cds	80102	80404	-	AJMLCG_00079	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABE8
contig_2	cds	80646	81998	-	AJMLCG_00080	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AFK0
contig_2	cds	82092	82643	+	AJMLCG_00081	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8X0
contig_2	ncRNA	82692	82769	-	AJMLCG_00082	86.0	4.9e-13	-	-	-	RFAM:RF02564
contig_2	cds	82799	84172	-	AJMLCG_00083	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P37773
contig_2	cds	84348	85346	+	AJMLCG_00084	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A993
contig_2	cds	85379	86374	-	AJMLCG_00085	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P37772
contig_2	cds	86361	87383	-	AJMLCG_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39328
contig_2	cds	87397	88899	-	AJMLCG_00087	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q6BEX0
contig_2	ncRNA	88932	89010	-	AJMLCG_00088	70.2	3.8e-10	-	-	-	RFAM:RF02564
contig_2	cds	89039	89995	-	AJMLCG_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39325
contig_2	cds	90305	90835	+	AJMLCG_00090	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A7A9
contig_2	cds	90915	91229	-	AJMLCG_00091	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A024L8M5
contig_2	cds	91259	91510	-	AJMLCG_00092	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P08365
contig_2	cds	91722	92063	-	AJMLCG_00093	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AE48
contig_2	cds	92066	95845	-	AJMLCG_00094	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39321
contig_2	cds	95842	97575	-	AJMLCG_00095	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADE4
contig_2	cds	97781	98419	+	AJMLCG_00096	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A744
contig_2	ncRNA	98501	98543	+	AJMLCG_00097	39.4	9.6e-05	-	-	-	RFAM:RF02751
contig_2	ncRNA	98623	98680	+	AJMLCG_00098	77.3	1.2e-14	-	-	-	RFAM:RF02051
contig_2	cds	98742	100085	+	AJMLCG_00099	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AE45
contig_2	cds	100164	100370	-	AJMLCG_00100	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADE2
contig_2	cds	100695	101249	+	AJMLCG_00101	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39187
contig_2	cds	101312	102250	-	AJMLCG_00102	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39317
contig_2	cds	102462	103202	-	AJMLCG_00103	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P22255
contig_2	ncRNA	103269	103391	-	AJMLCG_00104	157.5	5.5e-27	-	-	-	RFAM:RF02756
contig_2	cds	103392	105335	+	AJMLCG_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P08331
contig_2	cds	105464	105844	-	AJMLCG_00106	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ACN2
contig_2	cds	105933	106793	+	AJMLCG_00107	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39315
contig_2	cds	106901	107866	+	AJMLCG_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39314
contig_2	cds	107974	108636	+	AJMLCG_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P69506
contig_2	cds	108681	110093	-	AJMLCG_00110	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AAE0
contig_2	cds	110402	111022	-	AJMLCG_00111	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A9L3
contig_2	cds	111240	111878	+	AJMLCG_00112	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39310
contig_2	cds	111862	112188	-	AJMLCG_00113	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39309
contig_2	cds	112535	113329	+	AJMLCG_00114	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39308
contig_2	cds	113400	113849	-	AJMLCG_00115	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A7R1
contig_2	cds	113891	114118	-	AJMLCG_00116	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A8AMJ6
contig_2	cds	114123	114437	-	AJMLCG_00117	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P07013
contig_2	cds	114444	114839	-	AJMLCG_00118	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P02358
contig_2	ncRNA-region	114837	114921	-	-	110.2	1.3e-22	-	-	-	RFAM:RF02893
contig_2	cds	115166	115441	+	AJMLCG_00119	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF86
contig_2	cds	115571	116257	-	AJMLCG_00120	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39306
contig_2	cds	116257	117111	-	AJMLCG_00121	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39305
contig_2	cds	117121	117771	-	AJMLCG_00122	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39304
contig_2	cds	117785	118249	-	AJMLCG_00123	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P69820
contig_2	cds	118259	118564	-	AJMLCG_00124	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P69822
contig_2	cds	118580	119977	-	AJMLCG_00125	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39301
contig_2	cds	120332	121396	+	AJMLCG_00126	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39300
contig_2	cds	121504	122259	+	AJMLCG_00127	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A9W0
contig_2	cds	122256	123005	-	AJMLCG_00128	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39298
contig_2	cds	123187	123516	+	AJMLCG_00129	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39297
contig_2	cds	123665	123940	+	AJMLCG_00130	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF82
contig_2	cds	124057	125682	-	AJMLCG_00131	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P33224
contig_2	cds	125766	126929	-	AJMLCG_00132	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P33222
contig_2	cds	126932	127570	-	AJMLCG_00133	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39295
contig_2	cds	127580	127978	-	AJMLCG_00134	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF80
contig_2	cds	127996	128655	-	AJMLCG_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39293
contig_2	cds	128706	129404	-	AJMLCG_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF78
contig_2	cds	129423	129824	-	AJMLCG_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF76
contig_2	cds	129951	130682	-	AJMLCG_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P63177
contig_2	cds	130862	133303	-	AJMLCG_00139	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P21499
contig_2	cds	133342	133767	-	AJMLCG_00140	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF63
contig_2	cds	133972	135270	-	AJMLCG_00141	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A7D4
contig_2	cds	135374	135571	-	AJMLCG_00142	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF73
contig_2	cds	135653	136657	-	AJMLCG_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABC3
contig_2	cds	136660	137919	-	AJMLCG_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABC7
contig_2	cds	138005	139285	-	AJMLCG_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P25519
contig_2	cds	139361	139669	-	AJMLCG_00146	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A6X3
contig_2	cds	139755	140705	-	AJMLCG_00147	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P16384
contig_2	cds	140698	142545	-	AJMLCG_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P23367
contig_2	cds	142555	143892	-	AJMLCG_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P26365
contig_2	cds	143911	144372	-	AJMLCG_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF67
contig_2	cds	144344	145876	-	AJMLCG_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P31806
contig_2	cds	145890	147029	+	AJMLCG_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39288
contig_2	tRNA	147299	147374	-	AJMLCG_00153	88.4	-	-	-	-	-
contig_2	tRNA	147410	147485	-	AJMLCG_00154	88.4	-	-	-	-	-
contig_2	tRNA	147522	147597	-	AJMLCG_00155	88.4	-	-	-	-	-
contig_2	cds	147808	148353	-	AJMLCG_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A784
contig_2	cds	148448	149500	+	AJMLCG_00157	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39286
contig_2	cds	149597	150565	+	AJMLCG_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8K1
contig_2	cds	150587	153910	+	AJMLCG_00159	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39285
contig_2	cds	153939	154241	-	AJMLCG_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39284
contig_2	cds	154250	154564	-	AJMLCG_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39283
contig_2	cds	154616	156073	-	AJMLCG_00162	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39282
contig_2	cds	156337	157314	-	AJMLCG_00163	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8N7
contig_2	cds	157639	159447	+	AJMLCG_00164	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P00363
contig_2	cds	159440	160174	+	AJMLCG_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AC47
contig_2	cds	160185	160580	+	AJMLCG_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8Q0
contig_2	cds	160591	160950	+	AJMLCG_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8Q3
contig_2	cds	161013	162146	+	AJMLCG_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P00811
contig_2	cds	162235	162768	+	AJMLCG_00169	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A901
contig_2	cds	162765	163082	-	AJMLCG_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P69937
contig_2	ncRNA-region	163100	163146	-	-	50.6	5.9e-07	-	-	-	RFAM:RF01068
contig_2	cds	163258	163404	-	AJMLCG_00171	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADB7
contig_2	cds	163515	163640	-	AJMLCG_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ADB4
contig_2	cds	163692	164258	-	AJMLCG_00173	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A6N4
contig_2	cds	164300	165328	+	AJMLCG_00174	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39280
contig_2	cds	165723	166592	+	AJMLCG_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39279
contig_2	cds	166795	167148	-	AJMLCG_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF70
contig_2	cds	167286	168932	-	AJMLCG_00177	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A6F5
contig_2	cds	168976	169269	-	AJMLCG_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A6F9
contig_2	cds	169545	170801	+	AJMLCG_00179	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39277
contig_2	cds	170817	171293	-	AJMLCG_00180	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P37147
contig_2	cds	171630	173066	+	AJMLCG_00181	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AC38
contig_2	sorf	173103	173132	+	AJMLCG_00182	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q47063
contig_2	cds	173184	174485	+	AJMLCG_00183	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABN5
contig_2	cds	174601	174939	+	AJMLCG_00184	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P69488
contig_2	cds	174915	176612	+	AJMLCG_00185	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P36655
contig_2	cds	176649	177224	+	AJMLCG_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ACU7
contig_2	tRNA	177331	177406	+	AJMLCG_00187	75.3	-	-	-	-	-
contig_2	cds	178023	179561	+	AJMLCG_00188	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P23890
contig_2	cds	179926	181260	+	AJMLCG_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AAE8
contig_2	cds	181340	183487	+	AJMLCG_00190	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A9H3
contig_2	cds	183546	185003	+	AJMLCG_00191	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39276
contig_2	cds	185240	186757	+	AJMLCG_00192	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0A8N5
contig_2	cds	186876	187049	-	AJMLCG_00193	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P64646
contig_2	cds	187077	187373	-	AJMLCG_00194	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF61
contig_2	cds	187600	187872	-	AJMLCG_00195	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39274
contig_2	cds	187884	188114	-	AJMLCG_00196	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AF59
contig_2	cds	188295	189926	+	AJMLCG_00197	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AEC8
contig_2	cds	189923	190642	+	AJMLCG_00198	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AD01
contig_2	cds	191213	192553	+	AJMLCG_00199	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ABN9
contig_2	cds	192631	194277	+	AJMLCG_00200	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P14407
contig_2	cds	194399	195028	+	AJMLCG_00201	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39270
contig_2	cds	195167	196576	-	AJMLCG_00202	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P02921
contig_2	cds	196691	198046	-	AJMLCG_00203	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P06720
contig_2	cds	198329	199237	+	AJMLCG_00204	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0ACH8
contig_2	cds	199433	201703	+	AJMLCG_00205	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_W8SXR0
contig_2	cds	202028	202789	+	AJMLCG_00206	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P33234
contig_2	cds	202926	204263	+	AJMLCG_00207	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P60061
contig_2	cds	204367	206010	+	AJMLCG_00208	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P30845
contig_2	cds	206007	206675	+	AJMLCG_00209	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P30843
contig_2	cds	206676	207776	+	AJMLCG_00210	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P30844
contig_2	ncRNA	207745	207910	-	AJMLCG_00211	181.7	1.1e-30	-	-	-	RFAM:RF02052
contig_2	cds	207752	207841	-	AJMLCG_00212	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G3MTW7
contig_2	cds	207953	209455	-	AJMLCG_00213	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0C0L7
contig_2	cds	209719	210597	-	AJMLCG_00214	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P39267
contig_2	cds	210594	212822	-	AJMLCG_00215	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0DM85
contig_2	cds	213223	213558	+	AJMLCG_00216	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AFJ1
contig_2	ncRNA	213576	213652	+	AJMLCG_00217	95.1	1.1e-14	-	-	-	RFAM:RF02564
contig_2	ncRNA	213676	213752	+	AJMLCG_00218	111.0	1.4e-17	-	-	-	RFAM:RF02564
contig_2	ncRNA	213776	213852	+	AJMLCG_00219	106.9	7.8e-17	-	-	-	RFAM:RF02564
contig_2	ncRNA	213876	213952	+	AJMLCG_00220	111.0	1.4e-17	-	-	-	RFAM:RF02564
contig_2	ncRNA	213976	214052	+	AJMLCG_00221	110.9	1.5e-17	-	-	-	RFAM:RF02564
contig_2	ncRNA	214076	214152	+	AJMLCG_00222	106.8	8.2e-17	-	-	-	RFAM:RF02564
contig_2	cds	214216	214659	+	AJMLCG_00223	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P16681
contig_2	cds	214792	215580	+	AJMLCG_00224	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P16677
contig_2	cds	215605	216621	+	AJMLCG_00225	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P16682
contig_2	ncRNA	216628	216708	-	AJMLCG_00226	69.2	5.7e-10	-	-	-	RFAM:RF02564
contig_2	cds	217146	217514	+	AJMLCG_00227	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0DP70
contig_2	cds	217535	218260	+	AJMLCG_00228	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P16684
