#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	53202	53789	-	KDBBKD_00310	ecpA	common pilus major fimbrillin subunit EcpA	GO:0009289, RefSeq:WP_000730972.1, SO:0001217, UniParc:UPI000013A0BB, UniRef:UniRef100_P0AAA4, UniRef:UniRef50_Q8CWB9, UniRef:UniRef90_Q8CWB9
contig_1	cds	53864	54406	-	KDBBKD_00315	ecpR	ECP biosynthesis operon DNA-binding transcriptional regulator EcpR	COG:COG2771, COG:K, GO:0003677, GO:0005737, GO:0006355, KEGG:K21963, RefSeq:WP_001301257.1, SO:0001217, UniParc:UPI00017A9975, UniRef:UniRef100_B1XE36, UniRef:UniRef50_B7UJE2, UniRef:UniRef90_B7UJE2
contig_1	cds	55492	55632	-	KDBBKD_00320		50S ribosomal protein L36 2	RefSeq:WP_000866436.1, SO:0001217, UniParc:UPI00001B50F9, UniRef:UniRef100_A7ZI30, UniRef:UniRef90_A7ZI30
contig_1	cds	55632	55898	-	KDBBKD_00325	rpmE2-1	type B 50S ribosomal protein L31	GO:0003735, GO:0005840, GO:0006412, RefSeq:WP_000977516.1, SO:0001217, UniParc:UPI0000167D7A, UniRef:UniRef100_P0A7N3, UniRef:UniRef50_Q8X9T8, UniRef:UniRef90_P0A7N3
contig_1	cds	56259	56360	-	KDBBKD_00330	ykgR	Uncharacterized membrane protein YkgR	GO:0005886, GO:0016021, RefSeq:WP_000662258.1, SO:0001217, UniParc:UPI00015C49F8, UniRef:UniRef100_C1P5Z8, UniRef:UniRef50_C1P5Z8, UniRef:UniRef90_C1P5Z8
contig_1	cds	57475	58362	+	KDBBKD_00335		Putative attaching and effacing -like protein	SO:0001217, UniParc:UPI0000129B20, UniRef:UniRef100_P36943, UniRef:UniRef90_P36943
contig_1	cds	58409	58708	+	KDBBKD_00340	tnp-IS3	IS3 family IS3 transposase	COG:COG2963, COG:X, GO:0003677, GO:0004803, GO:0006313, RefSeq:WP_000169527.1, SO:0001217, UniParc:UPI000005D12B, UniRef:UniRef100_P0CF66, UniRef:UniRef50_P0CF66, UniRef:UniRef90_P0CF66
contig_1	cds	58705	59571	+	KDBBKD_00345	tnp-IS3	IS3 family transposase	GO:0003677, GO:0006310, GO:0015074, GO:0032196, RefSeq:WP_000878218.1, SO:0001217, UniParc:UPI0000000F14, UniRef:UniRef100_P0CF79, UniRef:UniRef50_P0CF79, UniRef:UniRef90_P0CF79
contig_1	cds	59904	60092	+	KDBBKD_00350		hypothetical protein	RefSeq:WP_001345829.1, SO:0001217, UniParc:UPI0001F9200A, UniRef:UniRef100_A0A2S7I1G8, UniRef:UniRef50_A0A479VL15, UniRef:UniRef90_A0A479VL15
contig_1	ncRNA	59949	60125	-	KDBBKD_00355	AS-pc02	Antisense to pHK01_099	RFAM:RF02876, SO:0000644
contig_1	ncRNA	61123	61274	+	KDBBKD_00360	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
contig_1	cds	61212	61418	+	KDBBKD_00365	srnB	Protein SrnB	GO:0005886, GO:0016021, RefSeq:WP_001362723.1, SO:0001217, UniParc:UPI0000135F51, UniRef:UniRef100_P13970, UniRef:UniRef50_P13970, UniRef:UniRef90_P13970
contig_1	cds	61702	61959	+	KDBBKD_00370	repA2	Replication regulatory protein RepA2	GO:0003677, GO:0006276, RefSeq:WP_000083834.1, SO:0001217, UniParc:UPI0000128237, UniRef:UniRef100_P13959, UniRef:UniRef50_P13959, UniRef:UniRef90_P13959
contig_1	ncRNA	62085	62175	-	KDBBKD_00375	CopA	CopA-like RNA	RFAM:RF00042, SO:0000655
contig_1	sorf	62193	62267	+	KDBBKD_00380	repL	Positive regulator of RepFIC repA1 expression	GO:0006260, RefSeq:WP_001442103.1, SO:0001217, UniParc:UPI0000133656, UniRef:UniRef100_P56980, UniRef:UniRef50_P62550, UniRef:UniRef90_P62550
contig_1	cds	62646	64742	-	KDBBKD_00385	tnpX	Putative transposon gamma-delta protein	RefSeq:WP_000422420.1, SO:0001217, UniParc:UPI0000000F1D, UniRef:UniRef100_Q00042, UniRef:UniRef50_Q00042, UniRef:UniRef90_Q00042
contig_1	cds	64758	65309	-	KDBBKD_00390	tnpR	Transposon gamma-delta resolvase	GO:0000150, GO:0003677, GO:0015074, RefSeq:WP_001235704.1, SO:0001217, UniParc:UPI000003C0F9, UniRef:UniRef100_P03012, UniRef:UniRef50_P03012, UniRef:UniRef90_P03012
contig_1	cds	65473	68481	+	KDBBKD_00395	tnpA	Tn3 family transposase	GO:0003677, GO:0004803, GO:0006313, RefSeq:WP_001143750.1, SO:0001217, UniParc:UPI00001370DD, UniRef:UniRef100_Q00037, UniRef:UniRef50_P03008, UniRef:UniRef90_Q00037
contig_1	cds	69072	70133	-	KDBBKD_00400	yuaB	Uncharacterized HTH-type transcriptional regulator YuaB	GO:0003677, GO:0006355, RefSeq:WP_001092154.1, SO:0001217, UniParc:UPI00000C4E95, UniRef:UniRef100_Q9JMT8, UniRef:UniRef50_Q9JMT8, UniRef:UniRef90_Q9JMT8
contig_1	cds	70243	70653	-	KDBBKD_00405	yuaC	Uncharacterized protein YuaC	RefSeq:WP_000583244.1, SO:0001217, UniParc:UPI00025B27E9, UniRef:UniRef100_Q9JMT7, UniRef:UniRef50_Q9JMT7, UniRef:UniRef90_Q9JMT7
contig_1	cds	70690	70815	-	KDBBKD_00410		hypothetical protein	SO:0001217, UniParc:UPI0003C63860, UniRef:UniRef100_A0A478SUM1, UniRef:UniRef50_A0A478SUM1, UniRef:UniRef90_A0A478SUM1
contig_1	cds	70820	71215	-	KDBBKD_00415	yuaD	Uncharacterized membrane protein YuaD	GO:0016021, RefSeq:WP_000491615.1, SO:0001217, UniParc:UPI0001F91DBF, UniRef:UniRef100_Q9JMT6, UniRef:UniRef50_Q9JMT6, UniRef:UniRef90_Q9JMT6
contig_1	cds	71390	71803	-	KDBBKD_00420	yuaE	Uncharacterized protein YuaE	GO:0016020, RefSeq:WP_000483319.1, SO:0001217, UniParc:UPI00000C4E98, UniRef:UniRef100_Q9JMT5, UniRef:UniRef50_Q9JMT5, UniRef:UniRef90_Q9JMT5
contig_1	cds	71796	72398	-	KDBBKD_00425	yuaF	Uncharacterized membrane protein YuaF	GO:0016021, RefSeq:WP_000271587.1, SO:0001217, UniParc:UPI00000C4E99, UniRef:UniRef100_Q9JMT4, UniRef:UniRef50_Q9JMT4, UniRef:UniRef90_Q9JMT4
contig_1	cds	73501	73800	+	KDBBKD_00430	tnp-IS3	IS3 family IS3 transposase	COG:COG2963, COG:X, GO:0003677, GO:0004803, GO:0006313, RefSeq:WP_000169527.1, SO:0001217, UniParc:UPI000005D12B, UniRef:UniRef100_P0CF66, UniRef:UniRef50_P0CF66, UniRef:UniRef90_P0CF66
contig_1	cds	73797	74663	+	KDBBKD_00435	tnp-IS3	IS3 family transposase	GO:0003677, GO:0006310, GO:0015074, GO:0032196, SO:0001217, UniParc:UPI000012D659, UniRef:UniRef100_Q9JMT3, UniRef:UniRef50_P0CF79, UniRef:UniRef90_P0CF79
contig_1	cds	75631	75891	+	KDBBKD_00440	yuaH	Uncharacterized protein YuaH	SO:0001217, UniParc:UPI0001F91DBD, UniRef:UniRef100_Q9JMT1, UniRef:UniRef50_Q9JMT1, UniRef:UniRef90_Q9JMT1
contig_1	cds	76016	76921	-	KDBBKD_00445	tnp-IS3	IS3 family transposase	COG:COG2801, COG:X, GO:0003677, GO:0006310, GO:0015074, GO:0032196, RefSeq:WP_000376502.1, SO:0001217, UniParc:UPI0000000AAC, UniRef:UniRef100_P0C5W5, UniRef:UniRef50_P0CF62, UniRef:UniRef90_P0C5W5
contig_1	cds	76879	77244	-	KDBBKD_00450	tnp-IS2	IS3 family IS2 transposase	GO:0003677, GO:0004803, GO:0006313, RefSeq:WP_000567766.1, SO:0001217, UniParc:UPI00000002A2, UniRef:UniRef100_P0C5W3, UniRef:UniRef50_P0CF60, UniRef:UniRef90_P0C5W3
contig_1	cds	77255	77485	+	KDBBKD_00455	yuaK	Uncharacterized protein YuaK	SO:0001217, UniRef:UniRef50_Q9JMS9, UniRef:UniRef90_Q9JMS9
contig_1	cds	78439	79131	-	KDBBKD_00460	yuaM	Uncharacterized protein YuaM	GO:0005886, GO:0016021, RefSeq:WP_000286435.1, SO:0001217, UniParc:UPI0001FB7B70, UniRef:UniRef100_Q9JMS7, UniRef:UniRef50_Q9JMS7, UniRef:UniRef90_Q9JMS7
contig_1	cds	79565	79798	-	KDBBKD_00465	yuaN	Uncharacterized protein YuaN	SO:0001217, UniParc:UPI00000C4E9F, UniRef:UniRef100_Q9JMS6, UniRef:UniRef50_Q9JMS6, UniRef:UniRef90_Q9JMS6
contig_1	cds	79884	85193	-	KDBBKD_00470	yuaO	Uncharacterized protein YuaO	GO:0009279, GO:0016021, RefSeq:WP_040078930.1, SO:0001217, UniParc:UPI000589DE34, UniRef:UniRef100_Q9JMS5, UniRef:UniRef50_Q9JMS5, UniRef:UniRef90_Q9JMS5
contig_1	cds	85333	85602	+	KDBBKD_00475	yuaP	Uncharacterized membrane protein YuaP	GO:0016021, SO:0001217, UniParc:UPI00000C4EA1, UniRef:UniRef100_Q9JMS4, UniRef:UniRef50_Q9JMS4, UniRef:UniRef90_Q9JMS4
