"","product","gene","function."
"194","LysE family transporter","yahN",NA
"195","DUF1471 family periplasmic protein YahO","yahO",NA
"196","propionate catabolism operon regulatory proteinPrpR","prpR",NA
"197","methylisocitrate lyase","prpB",NA
"198","2-methylcitrate synthase","prpC",NA
"199","2-methylcitrate dehydratase","prpD",NA
"200","propionate--CoA ligase","prpE",NA
"201","cytosine permease","codB",NA
"202","cytosine/isoguanine deaminase","codA",NA
"203","transcriptional regulator CynR","cynR",NA
"204","carbonic anhydrase CynT","cynT",NA
"205","cyanase","cynS",NA
"206","cyanate transporter CynX","cynX",NA
"207","galactoside O-acetyltransferase","lacA",NA
"208","lactose permease","lacY",NA
"209","beta-galactosidase","lacZ",NA
"210","DNA-binding transcriptional repressor LacI","lacI",NA
"211","DNA-binding transcriptional regulator","mhpR",NA
"212","bifunctional3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acidhydroxylase","mhpA",NA
"213","2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase","mhpB",NA
"214","2-hydroxy-6-oxonona-2,4-dienedioate hydrolase","mhpC",NA
"215","2-keto-4-pentenoate hydratase","mhpD",NA
"216","acetaldehyde dehydrogenase","mhpF",NA
"217","4-hydroxy-2-oxovalerate aldolase","mhpE",NA
"218","3-(3-hydroxy-phenyl)propionate transporter","mhpT",NA
"219","DUF2058 domain-containing protein",NA,NA
